,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0,,,,,,,,,,,,,,,,,,,,
1,100.7660,,,,,,,,,,,,,,,,,,,,
2,101.1788,,,,,,,,,,,,,,,,,,,,
3,240,,,,,,,,,,,,,,,,,,,,
4,80.4680,,,,,,,,,,,,,,,,,,,,
5,87.6842,,,,,,,,,,,,,,,,,,,,
6,88.5354,,,,,,,,,,,,,,,,,,,,
7,89.1600,,,,,,,,,,,,,,,,,,,,
8,89.9937,,,,,,,,,,,,,,,,,,,,
9,90.7177,,,,,,,,,,,,,,,,,,,,
10,91.0368,225.0,27.0,91.0368,,,,,,,,,,,,,,,,,
11,94.6320,,,,,,,,,,,,,,,,,,,,
12,97.6769,,,,,,,,,,,,,,,,,,,,
13,AJ Hammons,5.7,0.2,1.2,0.028600000000000004,0.0,0.1,0.0,0.2,0.8,0.1,0.2,1.2,1.4,0.2,0.0,0.4,0.4,0.6,0.6,-5.0
14,AJ Price,2.6,0.5,1.3,0.25,0.2,0.7,0.1,0.0,0.1,0.0,0.3,0.2,0.5,0.3,0.1,0.0,0.3,0.0,1.2,0.0
15,Aaron Brooks,3.9,0.5,1.1,0.1,0.1,0.4,0.05,0.3,0.4,0.15,0.2,0.1,0.3,0.7,0.2,0.2,0.5,0.5,1.4,0.1
16,Aaron Craft,20.0,2.0,3.5,0.5415,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.5,1.0,5.0,2.5
17,Aaron Gordon,12.0,1.9,3.5,0.4058999999999999,0.5,1.0,0.3167,0.5,0.7,0.225,1.1,2.0,3.1,0.7,0.6,0.4,0.3,1.1,4.8,1.9
18,Aaron Gray,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.6
19,Aaron Harrison,2.2,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.3,0.2,0.2,-0.9
20,Aaron Holiday,10.7,2.0,4.1,0.3074,0.9,2.0,0.2533,0.7,0.9,0.3167,0.1,0.6,0.7,1.6,0.2,0.0,0.8,1.5,5.6,-0.6
21,Aaron Jackson,,,,,,,,,,,,,,,,,,,,
22,Abdel Nader,5.3,1.0,2.6,0.2667,0.2,1.2,0.049999999999999996,0.0,0.1,0.0,0.3,0.8,1.1,0.2,0.2,0.2,0.3,0.3,2.2,-0.3
23,Abdul Gaddy,,,,,,,,,,,,,,,,,,,,
24,Adonis Thomas,6.0,0.8,2.2,0.32,0.1,0.7,0.05,0.1,0.1,0.1,0.0,0.7,0.7,0.6,0.0,0.0,0.2,0.7,1.8,2.3
25,Adreian Payne,5.5,0.9,1.9,0.26539999999999997,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.1,1.2,0.1,0.3,0.0,0.3,1.1,1.8,-1.3
26,Al Harrington,0.7,0.2,0.7,0.028600000000000004,0.1,0.3,0.033299999999999996,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.5,1.0
27,Al Horford,6.1,1.6,2.6,0.1867,0.3,0.5,0.06,0.0,0.0,0.0,0.4,1.6,2.0,0.6,0.0,0.0,0.7,0.4,3.5,-0.9
28,Al Jefferson,4.1,1.5,2.3,0.1917,0.0,0.0,0.0,0.2,0.4,0.1,0.4,1.3,1.7,0.4,0.0,0.0,0.3,0.8,3.2,-0.2
29,Al-Farouq Aminu,6.0,0.8,1.8,0.2531,0.2,0.5,0.125,0.2,0.3,0.15,0.5,0.9,1.4,0.3,0.4,0.1,0.4,0.5,2.0,-1.9
30,Alan Anderson,1.0,0.2,0.4,0.05,0.2,0.3,0.06670000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.6,-0.2
31,Alan Williams,6.1,1.4,2.6,0.3654,0.0,0.0,0.0,1.2,1.6,0.1492,0.9,1.5,2.4,0.2,0.1,0.4,0.3,1.4,4.0,2.7
32,Alec Burks,2.5,0.3,0.7,0.0917,0.0,0.0,0.0,0.1,0.2,0.05,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.7,-0.1
33,Alec Peters,,,,,,,,,,,,,,,,,,,,
34,Alex Abrines,5.1,0.4,1.7,0.049999999999999996,0.4,1.5,0.0596,0.3,0.3,0.2,0.2,0.4,0.6,0.1,0.1,0.0,0.0,0.4,1.5,-2.1
35,Alex Caruso,29.2,4.9,11.0,0.4396999999999999,1.6,3.4,0.43800000000000006,2.6,3.3,0.7,0.8,2.9,3.7,5.2,1.3,0.2,3.2,3.0,14.0,5.2
36,Alex Kirk,6.833333333333333,0.6666666666666666,2.6666666666666665,0.16666666666666666,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5,1.1666666666666667,0.0,0.0,0.3333333333333333,0.16666666666666666,1.3333333333333333,2.3333333333333335,-2.5
37,Alex Len,4.9,0.5,1.0,0.25,0.0,0.0,0.0,0.5,0.7,0.21669999999999998,0.8,1.2,2.0,0.1,0.1,0.2,0.6,0.8,1.5,-1.4
38,Alex Poythress,25.5,4.166666666666667,9.0,0.43083333333333335,1.0,3.1666666666666665,0.20233333333333334,1.3333333333333333,1.6666666666666667,0.5555,1.8333333333333333,3.0,4.833333333333333,0.8333333333333334,0.5,0.3333333333333333,0.5,2.3333333333333335,10.666666666666666,-6.0
39,Alex Stepheson,8.375,1.125,3.375,0.24925,0.0,0.0,0.0,0.5,1.5,0.15625,2.375,1.0,3.375,0.25,0.125,0.625,0.0,1.5,2.75,-1.5
40,Alexey Shved,8.1,1.8,3.6,0.3517,0.4,1.6,0.125,1.1,1.4,0.41,0.0,0.8,0.8,0.8,0.3,0.0,1.0,0.4,5.1,1.6
41,Alexis Ajinca,1.2,0.2,0.2,0.1,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.2,0.7,-0.4
42,Alfonzo McKinnie,9.1,1.3,2.5,0.41669999999999996,0.3,1.2,0.175,0.2,0.4,0.15,0.8,1.5,2.3,0.1,0.1,0.1,0.3,1.3,3.1,-3.5
43,Alize Johnson,12.5,1.0,2.5,0.2,0.0,0.0,0.0,1.5,2.0,0.375,1.5,4.0,5.5,0.5,0.5,1.0,0.0,1.0,3.5,7.0
44,Allen Crabbe,0.7,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.4
45,Allonzo Trier,,,,,,,,,,,,,,,,,,,,
46,Alonzo Gee,3.8,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,0.6,0.3,0.0,0.1,0.0,0.2,0.2,1.6
47,Amar'e Stoudemire,5.2,1.1,2.1,0.3027,0.0,0.0,0.0,0.4,0.5,0.15,0.5,0.9,1.4,0.1,0.1,0.1,0.3,0.9,2.6,-3.4
48,Amile Jefferson,5.8,0.8,1.0,0.35,0.0,0.0,0.0,0.6,0.8,0.15,0.6,1.4,2.0,0.4,0.4,0.2,0.2,0.8,2.2,2.8
49,Amir Johnson,4.6,0.7,1.4,0.2733,0.0,0.3,0.0,0.1,0.3,0.05,0.7,1.1,1.8,0.7,0.1,0.0,0.0,0.5,1.5,-0.4
50,Anderson Varejao,6.6,0.5,1.3,0.2833,0.0,0.0,0.0,0.7,1.2,0.33330000000000004,0.5,0.5,1.0,0.7,0.2,0.2,0.5,1.3,1.7,-0.1
51,Andray Blatche,1.9,0.6,1.2,0.1,0.0,0.0,0.0,0.3,0.4,0.15,0.0,0.7,0.7,0.3,0.3,0.1,0.1,0.1,1.5,-0.1
52,Andre Dawkins,4.6,0.7,1.6,0.1025,0.5,1.2,0.11000000000000001,0.6,0.7,0.175,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.7,2.5,-0.9
53,Andre Drummond,11.5,2.1,3.5,0.47989999999999994,0.1,0.2,0.1,0.1,0.5,0.033299999999999996,1.6,3.1,4.7,0.5,0.7,1.0,0.5,1.0,4.4,-1.8
54,Andre Emmett,7.166666666666667,0.6666666666666666,1.1666666666666667,0.3333333333333333,0.0,0.16666666666666666,0.0,0.8333333333333334,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,2.1666666666666665,-1.1666666666666667
55,Andre Iguodala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Andre Ingram,,,,,,,,,,,,,,,,,,,,
57,Andre Miller,6.6,1.1,2.0,0.30670000000000003,0.0,0.0,0.0,0.5,0.5,0.2,0.3,0.8,1.1,1.5,0.1,0.0,0.6,0.9,2.7,1.9
58,Andre Roberson,4.1,0.5,1.1,0.16670000000000001,0.0,0.2,0.0,0.2,0.4,0.1,1.0,0.7,1.7,0.0,0.3,0.1,0.3,0.7,1.2,3.2
59,Andrea Bargnani,0.8,0.1,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2
60,Andrei Kirilenko,6.1,0.3,0.5,0.2,0.0,0.0,0.0,0.1,0.5,0.05,0.3,0.6,0.9,0.2,0.3,0.1,0.3,0.3,0.7,3.0
61,Andres Nocioni,4.8,0.5,1.8,0.26660000000000006,0.1,0.5,0.1,0.6,1.1,0.175,0.1,1.2,1.3,0.1,0.1,0.1,0.5,0.4,1.7,-1.5
62,Andrew Andrews,12.5,1.0,1.5,0.5,0.5,1.0,0.5,2.5,3.0,0.4165,0.0,1.0,1.0,0.5,0.0,0.0,1.5,1.0,5.0,-3.0
63,Andrew Bogut,1.2,0.3,0.4,0.16670000000000001,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.6,0.7,0.3,0.0,0.1,0.0,0.2,0.7,0.0
64,Andrew Bynum,10.0,1.8,5.0,0.2855,0.0,0.0,0.0,1.3,1.6,0.3917,1.3,2.5,3.8,0.6,0.1,0.7,0.8,0.9,4.9,-2.2
65,Andrew Goudelock,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
66,Andrew Harrison,4.8,0.3,1.1,0.1,0.2,0.7,0.1,0.7,1.1,0.29,0.0,0.5,0.5,1.0,0.4,0.0,0.3,0.7,1.5,1.6
67,Andrew Nicholson,1.7,0.1,0.6,0.025,0.1,0.3,0.033299999999999996,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.1,0.1,0.1,0.5,0.3,0.1
68,Andrew White III,,,,,,,,,,,,,,,,,,,,
69,Andrew Wiggins,35.1,8.0,17.5,0.43,1.0,2.6,0.3433,5.1,6.8,0.7444,1.7,2.3,4.0,1.7,1.2,0.7,2.0,3.0,22.1,4.5
70,Andris Biedrins,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-0.2
71,Andy Rautins,,,,,,,,,,,,,,,,,,,,
72,Anfernee Simons,9.0,2.5714285714285716,4.571428571428571,0.2502857142857143,1.2857142857142858,2.2857142857142856,0.28128571428571425,1.1428571428571428,1.5714285714285714,0.33342857142857146,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.2857142857142858,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,7.571428571428571,-0.42857142857142855
73,Angel Delgado,,,,,,,,,,,,,,,,,,,,
74,Antawn Jamison,5.6,0.4,2.3,0.11000000000000001,0.3,1.7,0.06,0.7,0.8,0.35,0.2,1.2,1.4,0.2,0.4,0.2,0.1,0.9,1.8,0.8
75,Ante Zizic,16.428571428571427,3.7142857142857144,5.714285714285714,0.5872857142857144,0.0,0.0,0.0,1.8571428571428572,2.857142857142857,0.3365714285714286,2.2857142857142856,3.142857142857143,5.428571428571429,1.5714285714285714,0.0,0.42857142857142855,1.4285714285714286,1.5714285714285714,9.285714285714286,-3.5714285714285716
76,Anthony Bennett,4.8,1.1,2.4,0.20170000000000005,0.2,1.0,0.075,0.8,1.1,0.21669999999999998,0.8,1.1,1.9,0.2,0.1,0.2,0.1,0.2,3.2,0.4
77,Anthony Brown,2.9,0.6,1.4,0.19290000000000002,0.3,0.8,0.1333,0.0,0.0,0.0,0.2,0.7,0.9,0.2,0.0,0.0,0.1,0.3,1.5,1.6
